brand,car_age,price
Nissan,6,27899.999999999978
Audi,4,77500.00000000006
Land,6,43998.00000000003
Ford,5,67999.99999999999
INFINITI,11,19995.00000000001
Jeep,3,54000.00000000001
Lincoln,15,5899.999999999995
Porsche,5,134999.00000000012
Mercedes-Benz,7,34250.00000000001
Porsche,11,37000.00000000001
Acura,14,12000.0
Volkswagen,7,31999.999999999993
Kia,2,24499.99999999998
BMW,5,96997.99999999997
Lincoln,6,26544.999999999985
BMW,10,86998.99999999997
Toyota,4,34645.000000000015
Mazda,2,28534.999999999985
Porsche,7,43549.99999999997
Lincoln,8,27499.99999999998
Tesla,4,31000.000000000015
Porsche,6,68999.99999999997
Chevrolet,20,16000.000000000002
Acura,23,8500.000000000005
Ferrari,4,275000.0000000002
Porsche,18,44999.999999999985
Rolls-Royce,12,488880.00000000023
Audi,3,74899.99999999999
Mercedes-Benz,3,144664.00000000006
Honda,4,38499.99999999997
Mercedes-Benz,20,12995.000000000005
Lexus,21,10000.00000000001
Lexus,10,26999.999999999978
Dodge,18,6000.000000000005
Maserati,5,52645.000000000044
Land,5,35998.0
Aston,4,159499.9999999999
Audi,3,33609.999999999985
Ford,5,28616.00000000002
Mercedes-Benz,7,46899.99999999996
Subaru,2,29990.000000000007
BMW,9,28499.00000000002
Kia,5,36499.99999999998
Chevrolet,3,31984.99999999998
Subaru,21,9999.00000000001
Kia,2,36997.99999999997
BMW,9,40499.99999999998
Hyundai,12,17500.000000000015
Mercedes-Benz,5,69899.99999999996
BMW,5,53000.00000000002
Subaru,11,29999.99999999999
Mercedes-Benz,6,159997.9999999999
Mazda,5,22965.999999999985
Hyundai,12,9799.999999999996
Bentley,2,239995.00000000015
Land,2,79998.00000000003
Kia,5,37404.99999999997
Maserati,10,41900.00000000003
BMW,5,39997.99999999999
INFINITI,14,8500.000000000005
Mazda,9,18500.0
Chevrolet,2,73900.0
Audi,2,47598.00000000002
Lexus,7,38000.000000000015
BMW,11,10795.000000000004
Alfa,5,32399.99999999999
RAM,4,34000.0
BMW,10,53000.00000000002
Tesla,3,84499.99999999994
Volvo,7,17999.999999999993
Subaru,20,19500.0
BMW,5,57997.999999999956
Cadillac,11,10999.999999999993
Land,9,21589.99999999998
Genesis,8,27499.99999999998
Mercedes-Benz,16,17999.999999999993
Land,2,199998.00000000006
Kia,6,20817.999999999996
Toyota,7,31853.000000000015
Mercedes-Benz,6,45899.999999999985
BMW,5,29500.000000000007
Audi,10,102000.00000000001
Audi,7,42800.00000000002
Toyota,3,75500.00000000006
Audi,3,52899.99999999998
Audi,9,20000.000000000015
Lamborghini,3,288900.0000000002
BMW,18,8994.999999999993
Audi,7,50000.000000000015
Cadillac,4,97951.99999999991
BMW,11,17199.999999999993
Kia,2,50998.00000000003
Chevrolet,17,21999.999999999993
GMC,5,27654.000000000015
BMW,4,41597.99999999999
Audi,10,13999.999999999995
Subaru,8,20499.999999999993
Mitsubishi,24,4495.0
Hyundai,3,29799.999999999975
BMW,7,67000.0
Dodge,14,10500.000000000005
Ford,10,10000.00000000001
Toyota,3,70999.99999999994
Land,10,17500.000000000015
Lincoln,16,9750.000000000002
Ford,2,46998.00000000004
Mercedes-Benz,8,75000.00000000004
Mercedes-Benz,6,95000.00000000001
BMW,7,31999.999999999993
Acura,27,5500.000000000004
Audi,6,36340.000000000015
BMW,11,40999.00000000003
Volkswagen,4,29798.00000000001
Lexus,2,120990.0
INFINITI,10,11499.999999999998
BMW,19,11499.999999999998
BMW,10,59549.00000000001
BMW,6,39997.99999999999
Kia,11,15362.999999999995
Rivian,2,95000.00000000001
BMW,10,29995.000000000007
Cadillac,8,60999.000000000044
Ford,5,17999.999999999993
Land,5,71999.99999999996
Lexus,15,13250.0
BMW,2,78350.00000000003
Volvo,7,21999.999999999993
Hyundai,17,3850.0000000000023
Dodge,4,37994.999999999985
Mercedes-Benz,8,39000.0
GMC,6,42995.0
Audi,5,91500.00000000007
Rivian,2,94499.99999999996
Toyota,6,32999.99999999999
Alfa,6,53899.999999999985
Land,5,36597.99999999998
Alfa,5,35345.0
Cadillac,18,22998.999999999993
Ford,6,47756.00000000003
Nissan,20,9950.000000000007
Subaru,15,7600.000000000004
Honda,22,2999.9999999999995
McLaren,5,185000.00000000006
Maserati,9,35999.99999999998
Jeep,3,58900.000000000015
Maserati,8,27994.99999999999
Lexus,23,6348.000000000004
Lincoln,20,2000.0
Ford,7,21499.999999999985
Cadillac,9,19997.99999999998
Lincoln,9,20999.99999999998
Toyota,15,5000.000000000003
Mercedes-Benz,6,71999.99999999996
Mercedes-Benz,3,71997.99999999997
Mercedes-Benz,6,127899.00000000009
Hyundai,11,10999.999999999993
Toyota,6,40368.00000000004
Mercedes-Benz,4,99899.99999999996
Audi,8,67899.99999999999
Mazda,26,12900.0
Mercedes-Benz,8,33999.00000000003
Chevrolet,18,47500.000000000015
Ford,4,73000.00000000003
Volkswagen,3,27899.999999999978
BMW,13,16000.000000000002
BMW,1,128994.99999999996
Lexus,7,37299.999999999985
Audi,8,25998.999999999985
Alfa,7,26599.999999999978
Land,2,95997.99999999997
BMW,6,50998.00000000003
BMW,10,44950.0
Rolls-Royce,4,314900.0000000001
Audi,6,38000.000000000015
Lexus,14,11400.000000000004
Land,9,18999.999999999985
Ferrari,10,124990.00000000006
Lexus,7,63997.00000000002
Kia,3,38997.99999999999
GMC,20,5799.999999999996
Lexus,17,8994.999999999993
Nissan,15,28999.999999999996
Dodge,21,5699.999999999998
Ford,9,19995.00000000001
INFINITI,10,17800.00000000001
BMW,2,105900.00000000006
Lincoln,9,19780.00000000001
Volvo,5,35999.99999999998
Audi,7,37000.00000000001
Ford,4,31620.999999999975
Volkswagen,24,5500.000000000004
Jaguar,8,51499.99999999997
Land,5,44997.99999999998
RAM,4,45277.00000000001
Rivian,2,91000.00000000009
BMW,4,91900.00000000003
Lexus,7,64999.999999999956
Land,6,38000.000000000015
Acura,2,54997.99999999998
Lexus,7,64999.999999999956
Audi,6,43500.00000000003
Land,7,34899.99999999998
RAM,5,50658.00000000004
Audi,6,42900.000000000015
Audi,5,59598.000000000044
Cadillac,4,93000.00000000007
Mercedes-Benz,9,85500.00000000006
BMW,16,28000.00000000002
Honda,16,6250.000000000005
Rolls-Royce,3,449994.9999999996
Cadillac,10,35999.00000000002
Acura,5,36569.99999999999
BMW,3,29999.000000000007
Chrysler,8,20000.000000000015
Buick,12,11994.99999999999
Mercedes-Benz,5,104900.00000000007
RAM,4,48000.00000000003
Mercedes-Benz,7,44899.99999999997
Land,5,36997.99999999997
Volvo,5,50000.000000000015
Ford,5,48999.0
Toyota,19,5000.000000000003
Toyota,20,8500.000000000005
Ford,2,87500.00000000007
Chevrolet,9,19500.0
Chevrolet,3,32999.99999999999
Jeep,4,42997.999999999985
BMW,2,86999.99999999994
Mercedes-Benz,4,87500.00000000007
Toyota,5,45423.00000000004
BMW,4,31999.999999999993
BMW,17,15300.000000000004
Mazda,7,20499.999999999993
Audi,7,39998.99999999997
Saturn,17,14994.999999999989
BMW,20,9950.000000000007
Volvo,5,64999.999999999956
Acura,4,38781.00000000003
Acura,3,46597.99999999997
Chevrolet,4,67100.00000000004
Tesla,4,41999.99999999999
Mercedes-Benz,12,11494.999999999993
Chevrolet,3,33299.000000000015
BMW,12,16800.000000000004
Land,18,5750.000000000002
BMW,4,43000.00000000002
Porsche,18,24999.0
Ford,4,62594.99999999996
Rivian,2,93999.99999999997
Mercedes-Benz,4,42598.0
Ford,13,48000.00000000003
Tesla,4,36299.99999999999
Nissan,16,15900.000000000004
Toyota,11,32999.99999999999
Nissan,5,63900.000000000015
Ford,3,33499.99999999998
INFINITI,11,18900.000000000004
Aston,17,39000.0
Porsche,8,107997.99999999997
Lotus,8,69250.0
Land,5,44999.999999999985
Nissan,18,6700.0
Dodge,13,13500.000000000004
Buick,3,31754.999999999985
Nissan,7,13999.0
Nissan,13,4200.000000000004
Jeep,3,83998.00000000006
Nissan,2,65989.99999999996
Land,12,15900.000000000004
Porsche,22,22550.000000000022
Bentley,21,37900.000000000015
Jaguar,7,53599.999999999985
Cadillac,4,84999.99999999994
Audi,7,31989.999999999996
Jeep,5,35297.00000000003
Audi,9,29995.000000000007
GMC,10,31899.99999999999
Tesla,3,44997.99999999998
Mazda,1,52990.99999999997
Ford,8,11498.999999999996
Cadillac,7,52000.000000000044
Audi,17,10500.000000000005
Hyundai,4,25986.999999999993
Mercedes-Benz,9,46598.99999999996
Mercedes-Benz,10,54499.99999999998
Acura,11,17500.000000000015
RAM,6,67998.99999999994
Audi,13,15500.00000000001
BMW,2,73599.99999999997
RAM,6,34917.999999999985
Audi,12,16999.99999999999
Cadillac,6,22500.000000000015
Volkswagen,9,12999.999999999995
Ford,9,31699.999999999996
Mercedes-Benz,8,64600.000000000015
Ford,4,29613.99999999998
Jeep,4,43663.00000000003
BMW,8,20995.000000000004
Mercedes-Benz,7,25624.999999999985
Acura,12,32999.99999999999
Genesis,3,40999.99999999999
Lexus,4,98000.00000000003
Jeep,3,43500.00000000003
Hyundai,3,24999.0
Kia,16,6975.000000000002
BMW,2,76499.99999999996
Ford,11,23598.00000000001
BMW,7,67249.99999999997
Volkswagen,24,13999.999999999995
Rolls-Royce,15,68999.99999999997
Lincoln,9,26500.000000000004
Mercedes-Benz,3,39776.99999999996
RAM,3,41740.999999999985
Jeep,3,56740.0
Volvo,15,5799.999999999996
Subaru,11,25000.000000000007
Chevrolet,27,39500.00000000001
Hummer,19,29994.000000000015
Audi,4,101998.00000000004
Ford,14,10998.999999999998
GMC,15,6500.000000000003
Land,7,72566.99999999994
Jeep,3,37500.000000000015
BMW,5,63999.00000000002
Mercedes-Benz,6,134999.99999999997
Chevrolet,4,29899.999999999996
BMW,7,54000.00000000001
Mercedes-Benz,18,10000.00000000001
RAM,3,81899.99999999996
Audi,9,67000.0
Porsche,5,55997.999999999985
Genesis,3,50500.00000000004
Aston,17,33995.00000000002
Nissan,19,10200.000000000004
Toyota,12,18799.999999999993
Chevrolet,4,62899.99999999995
Jeep,5,24590.000000000007
BMW,3,47998.0
Ford,4,33410.000000000015
Mercedes-Benz,8,41999.99999999999
Volvo,20,3549.9999999999977
Mercedes-Benz,8,29500.000000000007
Chevrolet,8,29999.000000000007
Chevrolet,10,28000.00000000002
Acura,3,47950.000000000044
Bentley,5,162950.00000000012
Rolls-Royce,3,695000.0
Genesis,3,44249.00000000001
Pontiac,26,2500.0000000000005
Lexus,4,51997.999999999956
BMW,5,85997.99999999994
BMW,2,92900.00000000006
Jeep,4,38383.00000000003
Kia,3,23999.99999999999
Kia,7,14699.000000000002
BMW,3,98900.00000000003
RAM,4,41950.00000000003
Volkswagen,4,38322.000000000015
Hyundai,4,27599.0
Jaguar,10,20999.99999999998
Audi,3,62999.99999999995
INFINITI,8,21999.999999999993
Mercedes-Benz,3,244895.9999999999
Mercedes-Benz,6,43500.00000000003
Mitsubishi,22,28000.00000000002
Jeep,12,24590.000000000007
Audi,10,18998.999999999993
Volkswagen,23,4299.999999999997
BMW,5,68998.00000000003
Bentley,2,272950.0000000001
Mercedes-Benz,11,14999.99999999999
BMW,6,84999.99999999994
Lexus,10,16499.999999999993
Toyota,3,44998.999999999985
Mercedes-Benz,6,35999.00000000002
Mercedes-Benz,9,47998.99999999998
Ford,5,36994.000000000015
Mazda,15,8299.999999999993
Honda,6,35556.999999999985
Bentley,7,114999.99999999991
MINI,16,6880.0
Nissan,20,3950.000000000003
Bentley,6,113989.99999999991
Nissan,14,3199.9999999999986
Ford,6,40499.99999999998
Ford,5,53722.00000000004
Lamborghini,19,259000.0
Chevrolet,8,25999.999999999985
Bentley,7,103000.00000000001
BMW,6,81329.99999999997
Genesis,3,48949.999999999985
Chevrolet,14,18500.0
Dodge,8,29999.99999999999
Porsche,7,85500.00000000006
Porsche,14,31999.999999999993
Porsche,15,38499.99999999997
Lexus,9,25500.0
Kia,12,9200.0
Land,6,35998.0
Jaguar,8,34000.0
Lexus,20,13449.999999999996
Mercedes-Benz,14,17500.000000000015
BMW,2,144900.00000000012
RAM,2,65687.99999999997
Lamborghini,6,234899.99999999983
Toyota,8,37998.999999999985
Audi,6,39989.99999999999
GMC,29,25000.000000000007
Land,5,72995.00000000006
Chevrolet,3,35999.99999999998
BMW,6,35999.99999999998
Cadillac,16,16899.999999999985
Scion,15,6500.000000000003
Kia,13,10900.000000000004
Honda,32,9599.000000000004
Maserati,20,2954083.0000000023
Porsche,10,50000.000000000015
Genesis,2,43498.999999999985
Chevrolet,4,22995.000000000015
Toyota,20,7850.000000000001
Toyota,10,18300.0
Porsche,11,78500.00000000004
Volvo,10,29899.999999999996
Lexus,2,119500.00000000009
BMW,8,24949.999999999993
Tesla,5,36495.00000000003
FIAT,8,22500.000000000015
Dodge,23,6500.000000000003
Toyota,2,84900.00000000001
BMW,3,66997.99999999999
Jeep,18,15750.000000000013
MINI,11,16999.99999999999
Nissan,13,16999.99999999999
Toyota,19,6500.000000000003
Maserati,2,75000.00000000004
Lexus,3,52000.000000000044
BMW,12,13500.000000000004
BMW,16,15500.00000000001
BMW,4,94998.00000000006
Hyundai,2,43999.99999999997
Volvo,12,13899.99999999999
Karma,7,50999.999999999985
BMW,4,63597.999999999956
Ford,4,38000.000000000015
BMW,9,23998.999999999985
Ford,6,24997.999999999993
Volkswagen,5,34645.000000000015
Honda,21,10500.000000000005
BMW,3,132998.0
RAM,3,48000.00000000003
Jeep,7,26500.000000000004
GMC,6,57850.00000000003
BMW,10,45950.00000000001
Acura,8,24839.99999999999
Volkswagen,9,18999.999999999985
BMW,4,101000.00000000003
Ford,13,18999.999999999985
BMW,6,65997.99999999999
Kia,6,20708.000000000015
BMW,11,17994.999999999996
Aston,15,69995.00000000006
Mercedes-Benz,17,8399.999999999995
BMW,7,35000.00000000001
Dodge,15,6000.000000000005
Acura,15,13888.000000000004
Jeep,20,7200.000000000005
BMW,14,21899.999999999993
Kia,2,40999.99999999999
Ford,4,41998.99999999998
BMW,14,34949.99999999997
Jeep,2,45999.999999999956
Porsche,3,99000.00000000004
Ford,5,28590.000000000007
BMW,7,61999.99999999997
